S.No,Country/Region,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Exports_Growth_%,Imports_Growth_%
186,ST LUCIA,50.55,8.25,58.81,42.3,74.36,9.87,84.23,64.49,47.1,19.6
187,ST VINCENT,13.83,0.8,14.64,13.03,24.58,1.24,25.83,23.34,77.69,55.23
188,STATE OF PALEST,5.23,0.53,5.76,4.71,0.18,0.35,0.54,-0.17,-96.53,-32.77
189,SUDAN,5784.04,2540.65,8324.69,3243.39,4041.97,3238.34,7280.32,803.63,-30.12,27.46
190,SURINAME,200.77,143.93,344.7,56.83,189.45,245.97,435.42,-56.51,-5.64,70.89
191,SWAZILAND,198.27,100.57,298.84,97.7,144.62,112.63,257.25,31.99,-27.06,11.99
192,SWEDEN,6696.86,11811.58,18508.44,-5114.71,8710.54,14838.97,23549.51,-6128.44,30.07,25.63
193,SWITZERLAND,9249.13,134550.0,143799.13,-125300.87,10835.77,174091.04,184926.81,-163255.27,17.15,29.39
194,SYRIA,412.7,136.29,548.99,276.4,442.08,110.25,552.32,331.83,7.12,-19.11
195,TAIWAN,12878.03,54540.3,67418.33,-41662.27,12201.69,73997.35,86199.05,-61795.66,-5.25,35.67
196,TAJIKISTAN,364.78,0.07,364.85,364.72,284.44,0.01,284.44,284.43,-22.03,-91.15
197,TANZANIA REP,30139.47,22760.47,52899.94,7379.0,32595.42,27365.35,59960.77,5230.06,8.15,20.23
198,THAILAND,34334.77,68724.22,103058.99,-34389.45,33221.85,92859.21,126081.06,-59637.35,-3.24,35.12
199,TIMOR LESTE,333.42,0.48,333.9,332.95,,,0.0,0.0,,
200,TOGO,21255.38,5804.45,27059.83,15450.93,15973.11,6527.08,22500.19,9446.02,-24.85,12.45
201,TOKELAU IS,,,0.0,0.0,0.46,0.28,0.74,0.18,,
202,TONGA,12.07,0.13,12.2,11.94,,,0.0,0.0,,
203,TRINIDAD,745.45,1766.13,2511.58,-1020.68,854.51,1731.06,2585.56,-876.55,14.63,-1.99
204,TUNISIA,3076.12,1731.67,4807.79,1344.45,2481.78,1008.82,3490.6,1472.96,-19.32,-41.74
205,TURKEY,46675.63,25353.13,72028.77,21322.5,39909.86,22686.85,62596.71,17223.01,-14.5,-10.52
